source_department,source_id,business_key,name,address,pincode,pan,gstin,owner_name,nic_code,industry_sector,city,inspection_dates,event_history,closure_date,name_norm,address_norm,pincode_prefix,name_phonetic,ubid,link_confidence,veto_applied,veto_reason
shops,sho_1,BIZ-00001,Pragathi Retail 1 Pvt Ltd,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-17|2023-04-17|2023-07-09|2023-10-14|2024-01-12,inspection:2023-01-17|inspection:2023-04-17|inspection:2023-07-09|inspection:2023-10-14|inspection:2024-01-12|renewal:2024-04-14|renewal:2025-04-19|renewal:2026-04-01,,pragathi retail 1,no 1 main road industrial area mysuru,560,P623-PRK0 RTL ,UBID-000001,1.0,False,
factories,fac_1,BIZ-00001,Pragathi Retail 1,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-16|2023-04-16|2023-07-15|2023-10-13|2024-01-11,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|inspection:2023-10-13|inspection:2024-01-11|renewal:2025-04-04|renewal:2026-04-13,,pragathi retail 1,no 1 main road industrial area mysuru,560,P623-PRK0 RTL ,UBID-000001,1.0,False,
factories,fac_1_dup,BIZ-00001,Pragathi Reatil 1,"Plot 1, Main Road, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-16|2023-04-16|2023-07-15|2023-10-13|2024-01-11,inspection:2023-01-16|inspection:2023-04-16|inspection:2023-07-15|inspection:2023-10-13|inspection:2024-01-11|renewal:2025-04-04|renewal:2026-04-13,,pragathi reatil 1,plot 1 main road mysuru,560,P623-PRK0 RTL ,UBID-000001,1.0,False,
pollution,pol_1,BIZ-00001,Pragathi Retail 1 Pvt Ltd,"No 1, Main Road, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-18|2023-04-18|2023-07-17|2023-10-15|2024-01-13,inspection:2023-01-18|inspection:2023-04-18|inspection:2023-07-17|inspection:2023-10-15|inspection:2024-01-13,,pragathi retail 1,no 1 main road industrial area mysuru,560,P623-PRK0 RTL ,UBID-000001,1.0,False,
electricity,ele_1,BIZ-00001,M/s Pragathi Retail 1 Pvt Ltd,"Door 1, Industrial Area, Mysuru",560001,ABCDE0001F,29ABCDE0001F1Z2,Owner 1,4711,Retail,Mysuru,2023-01-19|2023-04-19|2023-07-18|2023-10-16|2024-01-14,inspection:2023-01-19|inspection:2023-04-19|inspection:2023-07-18|inspection:2023-10-16|inspection:2024-01-14|electricity_bill:2025-09-03|electricity_bill:2025-10-06|electricity_bill:2025-11-06|electricity_bill:2025-12-04|electricity_bill:2026-01-02|electricity_bill:2026-02-02|electricity_bill:2026-03-06|electricity_bill:2026-04-04|electricity_bill:2026-05-05,,m s pragathi retail 1,door 1 industrial area mysuru,560,M216-M S PRK0 RTL ,UBID-000001,1.0,False,
shops,sho_2,BIZ-00002,Shri Shree Durga Fabrication 2 LLP,"2 Main Rd, Ind Area, Hubballi",560002,ABCDE0002F,,Owner 2,2599,Fabrication,Hubballi,2023-01-27|2023-04-27|2023-07-26|2023-10-24|2024-01-22|2024-04-21,inspection:2023-01-27|inspection:2023-04-27|inspection:2023-07-26|inspection:2023-10-24|inspection:2024-01-22|inspection:2024-04-21|renewal:2026-04-26,,shree durga fabrication 2,2 main rd ind area hubballi,560,S636-XR TRK FBRKXN ,UBID-000002,0.5,False,
factories,fac_2,BIZ-00002,Shree Durga Fabrication 2 Fabrications,"No 2, Main Road, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-26|2023-04-26|2023-07-25|2023-10-23|2024-01-21|2024-04-20,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-25|inspection:2023-10-23|inspection:2024-01-21|renewal:2024-04-04|inspection:2024-04-20|renewal:2025-04-06|renewal:2026-04-24,,shree durga fabrication 2 fabrications,no 2 main road industrial area hubballi,560,S636-XR TRK FBRKXN FBRKXNS,UBID-000003,1.0,False,
pollution,pol_2,BIZ-00002,M/s Shree Durga Fabrication 2 Pvt Ltd,"Door 2, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-28|2023-04-28|2023-07-27|2023-10-30|2024-01-23|2024-04-22,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-30|inspection:2024-01-23|inspection:2024-04-22|filing:2026-05-05,,m s shree durga fabrication 2,door 2 industrial area hubballi,560,M226-M S XR TRK FBRKXN ,UBID-000003,1.0,False,
electricity,ele_2,BIZ-00002,Shri Shree Durga Fabrication 2,"No 2, Main Road, Industrial Area, Hubballi",560002,ABCDE0002F,29ABCDE0002F1Z3,Owner 2,2599,Fabrication,Hubballi,2023-01-29|2023-05-04|2023-07-28|2023-10-26|2024-01-24|2024-04-23,inspection:2023-01-29|inspection:2023-05-04|inspection:2023-07-28|inspection:2023-10-26|inspection:2024-01-24|inspection:2024-04-23|electricity_bill:2025-06-07|electricity_bill:2025-07-04|electricity_bill:2025-08-07|electricity_bill:2025-09-02|electricity_bill:2025-10-02|electricity_bill:2025-11-02|electricity_bill:2025-12-05|electricity_bill:2026-01-02|electricity_bill:2026-01-31|electricity_bill:2026-03-02|electricity_bill:2026-04-03|electricity_bill:2026-05-04,,shree durga fabrication 2,no 2 main road industrial area hubballi,560,S636-XR TRK FBRKXN ,UBID-000003,1.0,False,
shops,sho_3,BIZ-00003,Sayhadri Lodging 3 Pvt Ltd,"No 3, Main Road, Industrial Area, Mangaluru",560003,,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-04|2023-05-05|2023-08-03|2023-11-01|2024-01-30|2024-04-29,inspection:2023-02-04|inspection:2023-05-05|inspection:2023-08-03|inspection:2023-11-01|inspection:2024-01-30|renewal:2024-04-07|inspection:2024-04-29|renewal:2025-04-24|renewal:2026-04-19,,sayhadri lodging 3,no 3 main road industrial area mangaluru,560,S364-SHTR LJNK ,UBID-000004,0.5,False,
factories,fac_3,BIZ-00003,Shri Sahyadri Lodging 3 Enterprises,"Door 3, Industrial Area, Mangaluru",560003,ABCDE0003F,,Owner 3,5510,Lodging,Mangaluru,2023-02-03|2023-05-04|2023-08-02|2023-10-31|2024-01-29|2024-04-28,inspection:2023-02-03|inspection:2023-05-04|inspection:2023-08-02|inspection:2023-10-31|inspection:2024-01-29|renewal:2024-04-11|inspection:2024-04-28|renewal:2025-04-04|renewal:2026-04-07,,sahyadri lodging 3,door 3 industrial area mangaluru,560,S364-SYTR LJNK ,UBID-000005,1.0,False,
pollution,pol_3,BIZ-00003,Sahyadri Lodging 3 Lodgings,"No 3, Main Road, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-05|2023-05-06|2023-08-04|2023-10-26|2024-01-31|2024-04-23,inspection:2023-02-05|inspection:2023-05-06|inspection:2023-08-04|inspection:2023-10-26|inspection:2024-01-31|inspection:2024-04-23|filing:2026-05-05,,sahyadri lodging 3 lodgings,no 3 main road industrial area mangaluru,560,S364-SYTR LJNK LJNKS,UBID-000005,1.0,False,
electricity,ele_3,BIZ-00003,Shri Sahyadri Lodging 3 Traders,"No 3, Main Road, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-06|2023-05-07|2023-08-05|2023-11-03|2024-02-01|2024-05-06,inspection:2023-02-06|inspection:2023-05-07|inspection:2023-08-05|inspection:2023-11-03|inspection:2024-02-01|inspection:2024-05-06|electricity_bill:2025-07-07|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-03|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-05|electricity_bill:2026-02-03|electricity_bill:2026-03-04|electricity_bill:2026-04-04|electricity_bill:2026-05-04,,sahyadri lodging 3,no 3 main road industrial area mangaluru,560,S364-SYTR LJNK ,UBID-000005,1.0,False,
electricity,ele_3_dup,BIZ-00003,Shri Sahyadri Lodging 3 Traders,"Door 3, Industrial Area, Mangaluru",560003,ABCDE0003F,29ABCDE0003F1Z4,Owner 3,5510,Lodging,Mangaluru,2023-02-06|2023-05-07|2023-08-05|2023-11-03|2024-02-01|2024-05-06,inspection:2023-02-06|inspection:2023-05-07|inspection:2023-08-05|inspection:2023-11-03|inspection:2024-02-01|inspection:2024-05-06|electricity_bill:2025-07-07|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-03|electricity_bill:2025-11-01|electricity_bill:2025-12-02|electricity_bill:2026-01-05|electricity_bill:2026-02-03|electricity_bill:2026-03-04|electricity_bill:2026-04-04|electricity_bill:2026-05-04,,sahyadri lodging 3,door 3 industrial area mangaluru,560,S364-SYTR LJNK ,UBID-000005,1.0,False,
shops,sho_4,BIZ-00004,Mysore Restaurant 4L LP,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-06|2023-04-06|2023-07-05|2023-09-30,inspection:2023-01-06|inspection:2023-04-06|inspection:2023-07-05|inspection:2023-09-30|closure:2025-09-03,2025-09-03,mysore restaurant 4l lp,no 4 main road industrial area belagavi,560,M266-MSR RSTRNT L LP,UBID-000006,1.0,False,
factories,fac_4,BIZ-00004,Shri Mysore Restaurant 4 Traders,"No 4, Main Road, Industrial Area, Belagavi",560004,,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-05|2023-04-05|2023-07-04|2023-10-02,inspection:2023-01-05|inspection:2023-04-05|inspection:2023-07-04|inspection:2023-10-02|closure:2025-09-03,2025-09-03,mysore restaurant 4,no 4 main road industrial area belagavi,560,M266-MSR RSTRNT ,UBID-000006,0.95,False,
pollution,pol_4,BIZ-00004,Sri Mysore Restaurant 4,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-07|2023-04-07|2023-07-06|2023-10-04,inspection:2023-01-07|inspection:2023-04-07|inspection:2023-07-06|inspection:2023-10-04|closure:2025-09-03,2025-09-03,mysore restaurant 4,no 4 main road industrial area belagavi,560,M266-MSR RSTRNT ,UBID-000006,1.0,False,
